id,title_display,author_display,journal,full_text_link,score,keyword,publisher,subject,article_statistics
10.1371/journal.pmed.1002211,"Correction: Health, Health Inequality, and Cost Impacts of Annual Increases in Tobacco Tax: Multistate Life Table Modeling in New Zealand","['Tony Blakely', 'Linda J. Cobiac', 'Christine L. Cleghorn', 'Amber L. Pearson', 'Frederieke S. van der Deen', 'Giorgi Kvizhinadze', 'Nhung Nghiem', 'Melissa McLeod', 'Nick Wilson']",PLoS Medicine,http://europepmc.org/articles/PMC5179055?pdf=render,5.635475,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.0050251,“Efforts to Reprioritise the Agenda” in China: British American Tobacco's Efforts to Influence Public Policy on Secondhand Smoke in China,"['Monique E Muggli', 'Kelley Lee', 'Quan Gan', 'Jon O Ebbert', 'Richard D Hurt']",PLoS Medicine,http://europepmc.org/articles/PMC2605899?pdf=render,5.635475,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.1001856,"Health, Health Inequality, and Cost Impacts of Annual Increases in Tobacco Tax: Multistate Life Table Modeling in New Zealand","['Tony Blakely', 'Linda J. Cobiac', 'Christine L. Cleghorn', 'Amber L. Pearson', 'Frederieke S. van der Deen', 'Giorgi Kvizhinadze', 'Nhung Nghiem', 'Melissa McLeod', 'Nick Wilson']",PLoS Medicine,http://europepmc.org/articles/PMC4517929?pdf=render,5.635475,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.1000375,A Longitudinal Study of Medicaid Coverage for Tobacco Dependence Treatments in Massachusetts and Associated Decreases in Hospitalizations for Cardiovascular Disease,"['Thomas Land', 'Nancy A. Rigotti', 'Douglas E. Levy', 'Mark Paskowsky', 'Donna Warner', 'Jo-Ann Kwass', 'LeAnn Wetherell', 'Lois Keithly']",PLoS Medicine,http://europepmc.org/articles/PMC3000429?pdf=render,5.635475,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.1001480,The Effect of Tobacco Control Measures during a Period of Rising Cardiovascular Disease Risk in India: A Mathematical Model of Myocardial Infarction and Stroke,"['Sanjay Basu', 'Stanton Glantz', 'Asaf Bitton', 'Christopher Millett']",PLoS Medicine,http://europepmc.org/articles/PMC3706364?pdf=render,5.635475,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.0050141,"Toward a Global View of Alcohol, Tobacco, Cannabis, and Cocaine Use: Findings from the WHO World Mental Health Surveys","['Louisa Degenhardt', 'Wai-Tat Chiu', 'Nancy Sampson', 'Ronald C Kessler', 'James C Anthony', 'Matthias Angermeyer', 'Ronny Bruffaerts', 'Giovanni de Girolamo', 'Oye Gureje', 'Yueqin Huang', 'Aimee Karam', 'Stanislav Kostyuchenko', 'Jean Pierre Lepine', 'Maria Elena Medina Mora', 'Yehuda Neumark', 'J. Hans Ormel', 'Alejandra Pinto-Meza', 'José Posada-Villa', 'Dan J Stein', 'Tadashi Takeshima', 'J. Elisabeth Wells']",PLoS Medicine,http://europepmc.org/articles/PMC2443200?pdf=render,5.635475,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.1001235,"Manufacturing Epidemics: The Role of Global Producers in Increased Consumption of Unhealthy Commodities Including Processed Foods, Alcohol, and Tobacco","['David Stuckler', 'Martin McKee', 'Shah Ebrahim', 'Sanjay Basu']",PLoS Medicine,http://europepmc.org/articles/PMC3383750?pdf=render,5.635475,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.1002131,A Public Health Framework for Legalized Retail Marijuana Based on the US Experience: Avoiding a New Tobacco Industry,"['Rachel Ann Barry', 'Stanton Glantz']",PLoS Medicine,http://europepmc.org/articles/PMC5038957?pdf=render,5.635475,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.1001611,"Active or Passive Exposure to Tobacco Smoking and Allergic Rhinitis, Allergic Dermatitis, and Food Allergy in Adults and Children: A Systematic Review and Meta-Analysis","['Jurgita Saulyte', 'Carlos Regueira', 'Agustín Montes-Martínez', 'Polyna Khudyakov', 'Bahi Takkouche']",PLoS Medicine,http://europepmc.org/articles/PMC3949681?pdf=render,4.900923,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.1001631,Burden of Total and Cause-Specific Mortality Related to Tobacco Smoking among Adults Aged ≥45 Years in Asia: A Pooled Analysis of 21 Cohorts,"['Wei Zheng', 'Dale F. McLerran', 'Betsy A. Rolland', 'Zhenming Fu', 'Paolo Boffetta', 'Jiang He', 'Prakash Chandra Gupta', 'Kunnambath Ramadas', 'Shoichiro Tsugane', 'Fujiko Irie', 'Akiko Tamakoshi', 'Yu-Tang Gao', 'Woon-Puay Koh', 'Xiao-Ou Shu', 'Kotaro Ozasa', 'Yoshikazu Nishino', 'Ichiro Tsuji', 'Hideo Tanaka', 'Chien-Jen Chen', 'Jian-Min Yuan', 'Yoon-Ok Ahn', 'Keun-Young Yoo', 'Habibul Ahsan', 'Wen-Harn Pan', 'You-Lin Qiao', 'Dongfeng Gu', 'Mangesh Suryakant Pednekar', 'Catherine Sauvaget', 'Norie Sawada', 'Toshimi Sairenchi', 'Gong Yang', 'Renwei Wang', 'Yong-Bing Xiang', 'Waka Ohishi', 'Masako Kakizaki', 'Takashi Watanabe', 'Isao Oze', 'San-Lin You', 'Yumi Sugawara', 'Lesley M. Butler', 'Dong-Hyun Kim', 'Sue K. Park', 'Faruque Parvez', 'Shao-Yuan Chuang', 'Jin-Hu Fan', 'Chen-Yang Shen', 'Yu Chen', 'Eric J. Grant', 'Jung Eun Lee', 'Rashmi Sinha', 'Keitaro Matsuo', 'Mark Thornquist', 'Manami Inoue', 'Ziding Feng', 'Daehee Kang', 'John D. Potter']",PLoS Medicine,http://europepmc.org/articles/PMC3995657?pdf=render,4.900923,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.1001450,Tobacco Company Efforts to Influence the Food and Drug Administration-Commissioned Institute of Medicine Report <i>Clearing the Smoke:</i> An Analysis of Documents Released through Litigation,"['Crystal E. Tan', 'Thomas Kyriss', 'Stanton A. Glantz']",PLoS Medicine,http://europepmc.org/articles/PMC3665841?pdf=render,4.900923,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pmed.1001336,The Brazil SimSmoke Policy Simulation Model: The Effect of Strong Tobacco Control Policies on Smoking Prevalence and Smoking-Attributable Deaths in a Middle Income Nation,"['David Levy', 'Liz Maria de Almeida', 'Andre Szklo']",PLoS Medicine,http://europepmc.org/articles/PMC3491001?pdf=render,4.900923,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0132401,A Systematic Review of Tobacco Smoking Prevalence and Description of Tobacco Control Strategies in Sub-Saharan African Countries; 2007 to 2014,"['Rachel Brathwaite', 'Juliet Addo', 'Liam Smeeth', 'Karen Lock']",PLoS ONE,http://europepmc.org/articles/PMC4498629?pdf=render,8.093411,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0101934,Patterns and Predictors of Smokeless Tobacco Use among Adults in Bangladesh: Findings from the International Tobacco Control (ITC) Bangladesh Survey,"['Abu S. Abdullah', 'Pete Driezen', 'Ummul H. Ruthbah', 'Nigar Nargis', 'Anne C. K. Quah', 'Geoffrey T. Fong']",PLoS ONE,http://europepmc.org/articles/PMC4090160?pdf=render,8.093411,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0033466,Social Determinants of Health and Tobacco Use in Thirteen Low and Middle Income Countries: Evidence from Global Adult Tobacco Survey,"['Krishna M. Palipudi', 'Prakash C. Gupta', 'Dhirendra N. Sinha', 'Linda J. Andes', 'Samira Asma', 'Tim McAfee', 'on behalf of the GATS Collaborative Group ']",PLoS ONE,http://europepmc.org/articles/PMC3306395?pdf=render,8.093411,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0075919,Is Consumer Response to Plain/Standardised Tobacco Packaging Consistent with Framework Convention on Tobacco Control Guidelines? A Systematic Review of Quantitative Studies,"['Martine Stead', 'Crawford Moodie', 'Kathryn Angus', 'Linda Bauld', 'Ann McNeill', 'James Thomas', 'Gerard Hastings', 'Kate Hinds', ""Alison O'Mara-Eves"", 'Irene Kwan', 'Richard I. Purves', 'Stuart L. Bryce']",PLoS ONE,http://europepmc.org/articles/PMC3797796?pdf=render,8.093411,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0114073,Prevalence and Determinants of Tobacco Use in India: Evidence from Recent Global Adult Tobacco Survey Data,"['Akansha Singh', 'Laishram Ladusingh']",PLoS ONE,http://europepmc.org/articles/PMC4256395?pdf=render,8.093411,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0141135,Prevalence and Patterns of Tobacco Use in Bangladesh from 2009 to 2012: Evidence from International Tobacco Control (ITC) Study,"['Nigar Nargis', 'Mary E. Thompson', 'Geoffrey T. Fong', 'Pete Driezen', 'A. K. M. Ghulam Hussain', 'Ummul H. Ruthbah', 'Anne C. K. Quah', 'Abu S. Abdullah']",PLoS ONE,http://europepmc.org/articles/PMC4641679?pdf=render,8.093411,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0039147,Induction of Monozygotic Twinning by Ascorbic Acid in Tobacco,"['Zhong Chen', 'Daniel R. Gallie']",PLoS ONE,http://europepmc.org/articles/PMC3377588?pdf=render,7.741093,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0106461,Understanding Community Norms Surrounding Tobacco Sales,"['Patricia A. McDaniel', 'Ruth E. Malone']",PLoS ONE,http://europepmc.org/articles/PMC4152285?pdf=render,7.741093,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0037944,Dufulin Activates HrBP1 to Produce Antiviral Responses in Tobacco,"['Zhuo Chen', 'Mengjiao Zeng', 'Baoan Song', 'Chengrui Hou', 'Deyu Hu', 'Xiangyang Li', 'Zhenchao Wang', 'Huitao Fan', 'Liang Bi', 'Jiaju Liu', 'Dandan Yu', 'Linhong Jin', 'Song Yang']",PLoS ONE,http://europepmc.org/articles/PMC3360678?pdf=render,7.741093,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0150940,Executive Functions in Tobacco Dependence: Importance of Inhibitory Capacities,"['Valentin Flaudias', 'Marie Christine Picot', 'Jorge Lopez-Castroman', 'Pierre-Michel Llorca', 'Audrey Schmitt', 'Jean Perriot', 'Vera Georgescu', 'Philippe Courtet', 'Xavier Quantin', 'Sébastien Guillaume']",PLoS ONE,http://europepmc.org/articles/PMC4783097?pdf=render,7.741093,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0099336,Chinese Tobacco Industry Promotional Activity on the Microblog Weibo,"['Fan Wang', 'Pinpin Zheng', 'Dongyun Yang', 'Becky Freeman', 'Hua Fu', 'Simon Chapman']",PLoS ONE,http://europepmc.org/articles/PMC4051696?pdf=render,7.741093,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0080912,Investigations on the <i>Tobacco Necrosis Virus</i> D p60 Replicase Protein,"['Liang Fang', 'Robert H. A. Coutts']",PLoS ONE,http://europepmc.org/articles/PMC3836746?pdf=render,7.741093,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0058516,A Prospective Study of Tobacco Smoking and Mortality in Bangladesh,"['Fen Wu', 'Yu Chen', 'Faruque Parvez', 'Stephanie Segers', 'Maria Argos', 'Tariqul Islam', 'Alauddin Ahmed', 'Muhammad Rakibuz-Zaman', 'Rabiul Hasan', 'Golam Sarwar', 'Habibul Ahsan']",PLoS ONE,http://europepmc.org/articles/PMC3594295?pdf=render,7.741093,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0113196,Psychiatric Correlates of Snuff and Chewing Tobacco Use,"['Qiang Fu', 'Michael G. Vaughn', 'Li-Tzy Wu', 'Andrew C. Heath']",PLoS ONE,http://europepmc.org/articles/PMC4275177?pdf=render,7.741093,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0013625,Amyloid-Like Protein Inclusions in Tobacco Transgenic Plants,"['Anna Villar-Piqué', 'Raimon Sabaté', 'Oriol Lopera', 'Jordi Gibert', 'Josep Maria Torne', 'Mireya Santos', 'Salvador Ventura']",PLoS ONE,http://europepmc.org/articles/PMC2964307?pdf=render,7.741093,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0015700,Tobacco Smoke Mediated Induction of Sinonasal Microbial Biofilms,"['Natalia Goldstein-Daruech', 'Emily K. Cope', 'Ke-Qing Zhao', 'Katarina Vukovic', 'Jennifer M. Kofonow', 'Laurel Doghramji', 'Bernardo González', 'Alexander G. Chiu', 'David W. Kennedy', 'James N. Palmer', 'Jeffery G. Leid', 'James L. Kreindler', 'Noam A. Cohen']",PLoS ONE,http://europepmc.org/articles/PMC3017060?pdf=render,7.741093,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0122610,Strategies for Tobacco Control in India: A Systematic Review,"['Ailsa J. McKay', 'Raju K. K. Patel', 'Azeem Majeed']",PLoS ONE,http://europepmc.org/articles/PMC4391913?pdf=render,7.741093,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0029665,The Return on Investment of a Medicaid Tobacco Cessation Program in Massachusetts,"['Patrick Richard', 'Kristina West', 'Leighton Ku']",PLoS ONE,http://europepmc.org/articles/PMC3253087?pdf=render,7.741093,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0139542,Pathos & Ethos: Emotions and Willingness to Pay for Tobacco Products,"['Francesco Bogliacino', 'Cristiano Codagnone', 'Giuseppe Alessandro Veltri', 'Amitav Chakravarti', 'Pietro Ortoleva', 'George Gaskell', 'Andriy Ivchenko', 'Francisco Lupiáñez-Villanueva', 'Francesco Mureddu', 'Caroline Rudisill']",PLoS ONE,http://europepmc.org/articles/PMC4618929?pdf=render,7.741093,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0131957,"Allergic Sensitization, Rhinitis and Tobacco Smoke Exposure in US Adults","['Josef Shargorodsky', 'Esther Garcia-Esquinas', 'Iñaki Galán', 'Ana Navas-Acien', 'Sandra Y. Lin']",PLoS ONE,http://europepmc.org/articles/PMC4501790?pdf=render,7.741093,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0143377,Bioinformatics Analysis of the Effects of Tobacco Smoke on Gene Expression,"['Chunhua Cao', 'Jianhua Chen', 'Chengqi Lyu', 'Jia Yu', 'Wei Zhao', 'Yi Wang', 'Derong Zou']",PLoS ONE,http://europepmc.org/articles/PMC4667894?pdf=render,7.741093,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0059172,"Tobacco Knowledge among Adults in Zhejiang Province, China","['Yue Xu', 'ShuiYang Xu', 'QingQing Wu', 'YuJie Guo']",PLoS ONE,http://europepmc.org/articles/PMC3604021?pdf=render,7.741093,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0192191,The prevalence and trends of waterpipe tobacco smoking: A systematic review,"['Mohammed Jawad', 'Rana Charide', 'Reem Waziry', 'Andrea Darzi', 'Rami A. Ballout', 'Elie A. Akl']",PLoS ONE,http://europepmc.org/articles/PMC5806869?pdf=render,7.741093,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0107778,"Multiple Different Defense Mechanisms Are Activated in the Young Transgenic Tobacco Plants Which Express the Full Length Genome of the Tobacco Mosaic Virus, and Are Resistant against this Virus","['Balaji Jada', 'Arto J. Soitamo', 'Shahid Aslam Siddiqui', 'Gayatri Murukesan', 'Eva-Mari Aro', 'Tapio Salakoski', 'Kirsi Lehto']",PLoS ONE,http://europepmc.org/articles/PMC4171492?pdf=render,7.3069916,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0198942,Tobacco control policies to promote awareness and smoke-free environments in residence and workplace to reduce passive tobacco smoking in Bangladesh and its correlates,"['Papia Sultana', 'Md. Tahidur Rahman', 'Dulal Chandra Roy', 'Shamima Akter', 'Jenny Jung', 'Md. Mizanur Rahman', 'Jahanara Akter']",PLoS ONE,http://europepmc.org/articles/PMC6007922?pdf=render,7.3069916,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0113385,Systematic Review and Meta-Analysis of Association of Smokeless Tobacco and of Betel Quid without Tobacco with Incidence of Oral Cancer in South Asia and the Pacific,"['Bhawna Gupta', 'Newell W. Johnson']",PLoS ONE,http://europepmc.org/articles/PMC4239077?pdf=render,7.3069916,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0184425,DNA aneuploidy relationship with patient age and tobacco smoke in OPMDs/OSCCs,"['Patrizio Castagnola', 'Sergio Gandolfo', 'Davide Malacarne', 'Cinzia Aiello', 'Roberto Marino', 'Gabriele Zoppoli', 'Alberto Ballestrero', 'Walter Giaretti', 'Monica Pentenero']",PLoS ONE,http://europepmc.org/articles/PMC5587305?pdf=render,6.8413234,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0102661,"The Only African Wild Tobacco, <i>Nicotiana africana</i>: Alkaloid Content and the Effect of Herbivory","['Danica Marlin', 'Susan W. Nicolson', 'Abdullahi A. Yusuf', 'Philip C. Stevenson', 'Heino M. Heyman', 'Kerstin Krüger']",PLoS ONE,http://europepmc.org/articles/PMC4099186?pdf=render,6.8413234,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0183410,snoRNA and piRNA expression levels modified by tobacco use in women with lung adenocarcinoma,"['Natasha Andressa Nogueira Jorge', 'Gabriel Wajnberg', 'Carlos Gil Ferreira', 'Benilton de Sa Carvalho', 'Fabio Passetti']",PLoS ONE,http://europepmc.org/articles/PMC5560661?pdf=render,6.8413234,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0083826,Smokeless Tobacco Use: A Risk Factor for Hyperhomocysteinemia in a Pakistani Population,"['Mohammad Perwaiz Iqbal', 'Mohsin Yakub']",PLoS ONE,http://europepmc.org/articles/PMC3871626?pdf=render,6.8413234,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0138584,Feeding of Whitefly on Tobacco Decreases Aphid Performance via Increased Salicylate Signaling,"['Haipeng Zhao', 'Xiaoying Zhang', 'Ming Xue', 'Xiao Zhang']",PLoS ONE,http://europepmc.org/articles/PMC4575101?pdf=render,6.8413234,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0059924,Ectopic Expression of Arabidopsis Glycosyltransferase <i>UGT85A5</i> Enhances Salt Stress Tolerance in Tobacco,"['Yan-Guo Sun', 'Bo Wang', 'Shang-Hui Jin', 'Xiao-Xia Qu', 'Yan-Jie Li', 'Bing-Kai Hou']",PLoS ONE,http://europepmc.org/articles/PMC3606239?pdf=render,6.8413234,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0052439,"Overexpression of the Wheat Aquaporin Gene, <i>TaAQP7</i>, Enhances Drought Tolerance in Transgenic Tobacco","['Shiyi Zhou', 'Wei Hu', 'Xiaomin Deng', 'Zhanbing Ma', 'Lihong Chen', 'Chao Huang', 'Chen Wang', 'Jie Wang', 'Yanzhen He', 'Guangxiao Yang', 'Guangyuan He']",PLoS ONE,http://europepmc.org/articles/PMC3527513?pdf=render,6.8413234,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0150778,Correction: Bioinformatics Analysis of the Effects of Tobacco Smoke on Gene Expression,"['Chunhua Cao', 'Jianhua Chen', 'Chengqi Lyu', 'Jia Yu', 'Wei Zhao', 'Yi Wang', 'Derong Zou']",PLoS ONE,http://europepmc.org/articles/PMC4775001?pdf=render,6.8413234,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0088228,An Increase in Tobacco Craving Is Associated with Enhanced Medial Prefrontal Cortex Network Coupling,"['Amy C. Janes', 'Stacey Farmer', 'Blaise deB. Frederick', 'Lisa D. Nickerson', 'Scott E. Lukas']",PLoS ONE,http://europepmc.org/articles/PMC3914963?pdf=render,6.8413234,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0122607,Tobacco Use and Suicide Attempt: Longitudinal Analysis with Retrospective Reports,"['Ivan Berlin', 'Jahn K. Hakes', 'Mei-Chen Hu', 'Lirio S. Covey']",PLoS ONE,http://europepmc.org/articles/PMC4388646?pdf=render,6.8413234,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0140591,Overexpression of a <i>Triticum aestivum</i> Calreticulin gene (<i>TaCRT1</i>) Improves Salinity Tolerance in Tobacco,"['Yang Xiang', 'Yun Hai Lu', 'Min Song', 'Yun Wang', 'Wenqi Xu', 'Lintao Wu', 'Hancheng Wang', 'Zhengqiang Ma']",PLoS ONE,http://europepmc.org/articles/PMC4607401?pdf=render,6.8413234,tobacco,Public Library of Science (PLoS),Medicine,True
10.1371/journal.pone.0130744,Transcriptome Response Signatures Associated with the Overexpression of a Mitochondrial Uncoupling Protein (AtUCP1) in Tobacco,"['Alessandra Vasconcellos Nunes Laitz', 'Marcio Luis Acencio', 'Ilara G. F. Budzinski', 'Mônica T. V. Labate', 'Ney Lemke', 'Paulo Eduardo Martins Ribolla', 'Ivan G. Maia']",PLoS ONE,http://europepmc.org/articles/PMC4479485?pdf=render,6.8413234,tobacco,Public Library of Science (PLoS),Medicine,True
